Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
25	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
25	102  Ward 2	5121627		3	39	Moryah Jackson				SCH1ALG School Board District 1 At Large
25	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
25	102  Ward 2	5121627		3	54	Yes						Local Question 1
26	102  Ward 2	5121627 N	3	3	Democratic 
26	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
26	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
26	102  Ward 2	5121627		3	29	Gary Watts				Coroner
26	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
26	102  Ward 2	5121627		3	57	Yes						Local Question 2
26	102  Ward 2	5121627		4	7	Mitt Romney				President of Vice President
26	102  Ward 2	5121627		4	54	Yes						Local Question 1
27	102  Ward 2	5121627 N	4	3	Democratic 
27	102  Ward 2	5121627		4	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
27	102  Ward 2	5121627		4	20	James Smith				HOU072 State House of Representatives
27	102  Ward 2	5121627		4	29	Gary Watts				Coroner
27	102  Ward 2	5121627		4	35	John V Green		 Soil and Water District Commission
27	102  Ward 2	5121627		4	41	Barbara A Scott		 SCH1ALG School Board District 1 At Large
27	102  Ward 2	5121627		4	52	No						Statewide Amendment No 1
27	102  Ward 2	5121627		4	57	Yes						Local Question 2
27	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
27	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
27	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
27	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
27	102  Ward 2	5121627		3	39	Moryah Jackson				SCH1ALG School Board District 1 At Large
27	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
27	102  Ward 2	5121627		3	54	Yes						Local Question 1
28	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
28	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
28	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
28	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
28	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
28	102  Ward 2	5121627		3	58	No						Local Question 2
28	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
28	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
28	102  Ward 2	5121627		3	29	Gary Watts				Coroner
28	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
28	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
28	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
28	102  Ward 2	5121627		3	57	Yes						Local Question 2
28	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
28	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
28	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
28	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
28	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
29	102  Ward 2	5121627 N	4	7	Mitt Romney		 President of Vice President
29	102  Ward 2	5121627		4	17	Darrell Jackson				SEND021 State Senate
29	102  Ward 2	5121627		4	26	Leon Lott				Sheriff
29	102  Ward 2	5121627		4	32	Jeanette W McBride		 Clerk of Court
29	102  Ward 2	5121627		4	38	Vince Ford				SCH1ALG School Board District 1 At Large
29	102  Ward 2	5121627		4	45	Beatrice King				SCHO013 School Board District 1 Seat 3
29	102  Ward 2	5121627		4	54	Yes						Local Question 1
